action_id,date
85,2017-02-10
84,2017-02-09
4,2017-02-09
24,2017-02-09
24,2017-02-09
24,2017-02-09
24,2017-02-09
24,2017-02-09
24,2017-02-09
24,2017-02-09
24,2017-02-09
21,2017-02-09
15,2017-02-09
15,2017-02-09
15,2017-02-09
16,2017-02-09
8,2017-02-09
4,2017-02-08
21,2017-02-08
24,2017-02-08
24,2017-02-08
21,2017-02-08
21,2017-02-08
21,2017-02-08
21,2017-02-08
21,2017-02-08
84,2017-02-08
84,2017-02-08
85,2017-02-08
43,2017-02-08
43,2017-02-08
43,2017-02-08
4,2017-02-08
24,2017-02-08
24,2017-02-08
24,2017-02-08
24,2017-02-08
24,2017-02-08
24,2017-02-08
24,2017-02-08
24,2017-02-08
24,2017-02-08
24,2017-02-08
24,2017-02-08
24,2017-02-08
21,2017-02-08
21,2017-02-08
21,2017-02-08
21,2017-02-08
21,2017-02-08
21,2017-02-08
21,2017-02-08
21,2017-02-08
21,2017-02-08
21,2017-02-08
22,2017-02-08
22,2017-02-08
22,2017-02-08
22,2017-02-08
72,2017-02-08
24,2017-02-08
21,2017-02-08
21,2017-02-08
21,2017-02-08
21,2017-02-08
21,2017-02-08
21,2017-02-08
24,2017-02-08
24,2017-02-08
21,2017-02-08
24,2017-02-08
21,2017-02-08
21,2017-02-08
16,2017-02-08
24,2017-02-08
24,2017-02-08
21,2017-02-08
21,2017-02-08
21,2017-02-08
43,2017-02-08
43,2017-02-08
43,2017-02-08
43,2017-02-08
43,2017-02-08
43,2017-02-08
24,2017-02-07
24,2017-02-07
24,2017-02-07
21,2017-02-07
21,2017-02-07
21,2017-02-07
21,2017-02-07
21,2017-02-07
43,2017-02-06
43,2017-02-06
43,2017-02-06
43,2017-02-06
43,2017-02-06
43,2017-02-06
43,2017-02-06
46,2017-02-06
47,2017-02-06
4,2017-02-06
24,2017-02-06
24,2017-02-06
24,2017-02-06
24,2017-02-06
24,2017-02-06
24,2017-02-06
24,2017-02-06
24,2017-02-06
24,2017-02-06
24,2017-02-06
24,2017-02-06
24,2017-02-06
24,2017-02-06
24,2017-02-06
24,2017-02-06
24,2017-02-06
21,2017-02-06
95,2017-02-06
24,2017-02-06
24,2017-02-06
24,2017-02-06
24,2017-02-06
24,2017-02-06
24,2017-02-06
24,2017-02-06
24,2017-02-06
24,2017-02-06
24,2017-02-06
24,2017-02-06
24,2017-02-06
24,2017-02-06
24,2017-02-06
24,2017-02-06
24,2017-02-06
24,2017-02-06
21,2017-02-06
21,2017-02-06
21,2017-02-06
21,2017-02-06
21,2017-02-06
22,2017-02-06
21,2017-02-06
15,2017-02-06
16,2017-02-06
15,2017-02-06
14,2017-02-06
15,2017-02-06
15,2017-02-06
15,2017-02-06
15,2017-02-06
15,2017-02-06
15,2017-02-06
15,2017-02-06
15,2017-02-06
15,2017-02-06
15,2017-02-06
15,2017-02-06
15,2017-02-06
15,2017-02-06
15,2017-02-06
15,2017-02-06
15,2017-02-06
15,2017-02-06
15,2017-02-06
15,2017-02-06
15,2017-02-06
14,2017-02-06
14,2017-02-06
14,2017-02-06
14,2017-02-06
14,2017-02-06
14,2017-02-06
14,2017-02-06
14,2017-02-06
14,2017-02-06
14,2017-02-06
14,2017-02-06
14,2017-02-06
14,2017-02-06
14,2017-02-06
14,2017-02-06
14,2017-02-06
14,2017-02-06
14,2017-02-06
14,2017-02-06
14,2017-02-06
14,2017-02-06
14,2017-02-06
15,2017-02-06
14,2017-02-06
14,2017-02-06
15,2017-02-06
15,2017-02-06
15,2017-02-06
14,2017-02-06
14,2017-02-06
15,2017-02-06
15,2017-02-06
15,2017-02-06
14,2017-02-06
15,2017-02-06
15,2017-02-06
15,2017-02-06
15,2017-02-06
14,2017-02-06
15,2017-02-06
15,2017-02-06
15,2017-02-06
15,2017-02-06
15,2017-02-06
14,2017-02-06
14,2017-02-06
14,2017-02-06
14,2017-02-06
14,2017-02-06
14,2017-02-06
14,2017-02-06
15,2017-02-06
14,2017-02-06
14,2017-02-06
14,2017-02-06
15,2017-02-06
43,2017-02-05
43,2017-02-05
43,2017-02-05
43,2017-02-05
43,2017-02-05
43,2017-02-05
43,2017-02-05
43,2017-02-05
46,2017-02-05
47,2017-02-05
32,2017-02-05
32,2017-02-05
32,2017-02-05
43,2017-02-05
43,2017-02-05
46,2017-02-05
47,2017-02-05
32,2017-02-05
4,2017-02-05
24,2017-02-05
24,2017-02-05
24,2017-02-05
24,2017-02-05
24,2017-02-05
21,2017-02-05
21,2017-02-05
21,2017-02-05
21,2017-02-05
21,2017-02-05
21,2017-02-05
53,2017-02-05
54,2017-02-05
43,2017-02-05
43,2017-02-05
43,2017-02-04
43,2017-02-04
43,2017-02-04
43,2017-02-04
43,2017-02-04
43,2017-02-04
43,2017-02-04
43,2017-02-04
43,2017-02-04
43,2017-02-04
37,2017-02-04
4,2017-02-04
24,2017-02-04
24,2017-02-04
21,2017-02-04
21,2017-02-04
43,2017-02-04
43,2017-02-04
43,2017-02-04
43,2017-02-04
43,2017-02-04
43,2017-02-04
46,2017-02-04
47,2017-02-04
32,2017-02-04
32,2017-02-04
4,2017-02-04
24,2017-02-04
24,2017-02-04
21,2017-02-04
21,2017-02-04
21,2017-02-04
21,2017-02-04
21,2017-02-04
21,2017-02-04
21,2017-02-04
21,2017-02-04
21,2017-02-04
21,2017-02-04
21,2017-02-04
21,2017-02-04
21,2017-02-04
21,2017-02-04
43,2017-01-30
43,2017-01-30
37,2017-01-30
43,2017-01-30
43,2017-01-30
43,2017-01-30
43,2017-01-30
43,2017-01-30
43,2017-01-30
43,2017-01-30
37,2017-01-30
37,2017-01-30
37,2017-01-30
43,2017-01-30
43,2017-01-30
37,2017-01-30
43,2017-01-30
43,2017-01-30
43,2017-01-30
37,2017-01-30
4,2017-01-30
24,2017-01-30
24,2017-01-30
21,2017-01-30
21,2017-01-30
21,2017-01-30
21,2017-01-30
21,2017-01-30
21,2017-01-30
22,2017-01-30
22,2017-01-30
22,2017-01-30
24,2017-01-30
24,2017-01-30
24,2017-01-30
24,2017-01-30
24,2017-01-30
24,2017-01-30
24,2017-01-30
24,2017-01-30
24,2017-01-30
24,2017-01-30
22,2017-01-30
22,2017-01-30
22,2017-01-30
21,2017-01-30
21,2017-01-30
21,2017-01-30
12,2017-01-30
24,2017-01-30
43,2017-01-29
43,2017-01-29
43,2017-01-29
43,2017-01-29
43,2017-01-29
43,2017-01-29
46,2017-01-29
47,2017-01-29
43,2017-01-29
43,2017-01-29
43,2017-01-29
46,2017-01-29
47,2017-01-29
46,2017-01-29
47,2017-01-29
32,2017-01-29
32,2017-01-29
43,2017-01-29
43,2017-01-29
43,2017-01-29
43,2017-01-29
43,2017-01-29
43,2017-01-29
43,2017-01-29
37,2017-01-29
37,2017-01-29
4,2017-01-29
24,2017-01-29
24,2017-01-29
21,2017-01-29
21,2017-01-29
21,2017-01-29
21,2017-01-29
21,2017-01-29
21,2017-01-29
21,2017-01-29
43,2017-01-28
43,2017-01-28
43,2017-01-28
43,2017-01-28
43,2017-01-28
46,2017-01-28
47,2017-01-28
32,2017-01-28
32,2017-01-28
32,2017-01-28
32,2017-01-28
32,2017-01-28
4,2017-01-28
24,2017-01-28
43,2017-01-28
43,2017-01-28
43,2017-01-28
43,2017-01-28
43,2017-01-28
43,2017-01-28
43,2017-01-28
21,2017-01-28
21,2017-01-28
21,2017-01-28
4,2017-01-27
24,2017-01-27
24,2017-01-27
21,2017-01-27
21,2017-01-27
21,2017-01-27
21,2017-01-27
21,2017-01-27
21,2017-01-27
21,2017-01-27
21,2017-01-27
37,2017-01-27
37,2017-01-27
37,2017-01-27
43,2017-01-27
43,2017-01-27
43,2017-01-27
43,2017-01-27
43,2017-01-27
37,2017-01-27
21,2017-01-27
21,2017-01-27
21,2017-01-27
43,2017-01-26
43,2017-01-26
43,2017-01-26
43,2017-01-26
43,2017-01-26
43,2017-01-26
43,2017-01-26
46,2017-01-26
47,2017-01-26
32,2017-01-26
32,2017-01-26
43,2017-01-26
43,2017-01-26
43,2017-01-26
46,2017-01-26
47,2017-01-26
32,2017-01-26
43,2017-01-26
43,2017-01-26
43,2017-01-26
46,2017-01-26
47,2017-01-26
32,2017-01-26
32,2017-01-26
43,2017-01-26
43,2017-01-26
43,2017-01-26
46,2017-01-26
47,2017-01-26
32,2017-01-26
4,2017-01-26
24,2017-01-26
24,2017-01-26
24,2017-01-26
24,2017-01-26
21,2017-01-26
21,2017-01-26
21,2017-01-26
21,2017-01-26
21,2017-01-26
21,2017-01-26
21,2017-01-26
21,2017-01-26
21,2017-01-26
4,2017-01-25
24,2017-01-25
21,2017-01-25
21,2017-01-25
21,2017-01-25
21,2017-01-25
21,2017-01-25
21,2017-01-25
21,2017-01-25
21,2017-01-25
21,2017-01-25
21,2017-01-25
21,2017-01-25
21,2017-01-25
21,2017-01-25
21,2017-01-25
21,2017-01-25
21,2017-01-25
43,2017-01-24
43,2017-01-24
43,2017-01-24
43,2017-01-24
43,2017-01-24
43,2017-01-24
43,2017-01-24
43,2017-01-24
43,2017-01-24
43,2017-01-24
37,2017-01-24
37,2017-01-24
4,2017-01-24
24,2017-01-24
24,2017-01-24
21,2017-01-24
21,2017-01-24
21,2017-01-24
43,2017-01-24
43,2017-01-24
43,2017-01-24
43,2017-01-24
43,2017-01-24
43,2017-01-24
43,2017-01-24
43,2017-01-24
46,2017-01-24
47,2017-01-24
32,2017-01-24
43,2017-01-24
43,2017-01-24
47,2017-01-24
46,2017-01-24
32,2017-01-24
46,2017-01-24
47,2017-01-24
32,2017-01-24
4,2017-01-19
24,2017-01-19
24,2017-01-19
21,2017-01-19
21,2017-01-19
21,2017-01-19
21,2017-01-19
21,2017-01-19
24,2017-01-19
24,2017-01-19
21,2017-01-19
21,2017-01-19
43,2017-01-19
43,2017-01-19
43,2017-01-19
43,2017-01-19
43,2017-01-19
43,2017-01-19
43,2017-01-19
37,2017-01-19
37,2017-01-19
24,2017-01-19
24,2017-01-19
21,2017-01-19
43,2017-01-18
43,2017-01-18
43,2017-01-18
37,2017-01-18
43,2017-01-18
43,2017-01-18
37,2017-01-18
37,2017-01-18
43,2017-01-18
43,2017-01-18
37,2017-01-18
37,2017-01-18
4,2017-01-18
24,2017-01-18
21,2017-01-18
21,2017-01-18
21,2017-01-18
4,2017-01-17
24,2017-01-17
24,2017-01-17
21,2017-01-17
43,2017-01-17
43,2017-01-17
43,2017-01-17
43,2017-01-17
43,2017-01-16
43,2017-01-16
43,2017-01-16
43,2017-01-16
43,2017-01-16
43,2017-01-16
43,2017-01-16
37,2017-01-16
4,2017-01-16
24,2017-01-16
24,2017-01-16
21,2017-01-16
21,2017-01-16
21,2017-01-16
21,2017-01-16
4,2017-01-15
25,2017-01-15
25,2017-01-15
25,2017-01-15
25,2017-01-15
21,2017-01-15
21,2017-01-15
21,2017-01-15
21,2017-01-15
21,2017-01-15
21,2017-01-15
21,2017-01-15
21,2017-01-15
21,2017-01-15
21,2017-01-15
21,2017-01-15
21,2017-01-15
21,2017-01-15
21,2017-01-15
4,2017-01-14
21,2017-01-14
21,2017-01-14
21,2017-01-14
21,2017-01-14
21,2017-01-14
21,2017-01-14
21,2017-01-14
21,2017-01-14
25,2017-01-14
25,2017-01-14
25,2017-01-14
25,2017-01-14
25,2017-01-14
21,2017-01-14
21,2017-01-14
24,2017-01-14
24,2017-01-14
21,2017-01-14
21,2017-01-14
21,2017-01-14
21,2017-01-14
21,2017-01-14
43,2017-01-14
43,2017-01-14
43,2017-01-14
43,2017-01-14
43,2017-01-14
43,2017-01-14
46,2017-01-14
47,2017-01-14
32,2017-01-14
43,2017-01-14
43,2017-01-14
46,2017-01-14
47,2017-01-14
32,2017-01-14
32,2017-01-14
43,2017-01-09
43,2017-01-09
43,2017-01-09
37,2017-01-09
43,2017-01-09
43,2017-01-09
37,2017-01-09
43,2017-01-09
43,2017-01-09
43,2017-01-09
43,2017-01-09
43,2017-01-09
37,2017-01-09
37,2017-01-09
37,2017-01-09
37,2017-01-09
37,2017-01-09
52,2017-01-09
37,2017-01-09
4,2017-01-09
21,2017-01-09
21,2017-01-09
21,2017-01-09
21,2017-01-09
21,2017-01-09
21,2017-01-09
21,2017-01-09
43,2017-01-09
43,2017-01-09
43,2017-01-09
43,2017-01-09
43,2017-01-09
37,2017-01-09
37,2017-01-09
37,2017-01-09
37,2017-01-09
37,2017-01-09
37,2017-01-09
37,2017-01-09
37,2017-01-09
43,2017-01-08
43,2017-01-08
43,2017-01-08
46,2017-01-08
47,2017-01-08
32,2017-01-08
43,2017-01-08
43,2017-01-08
43,2017-01-08
43,2017-01-08
43,2017-01-08
43,2017-01-08
43,2017-01-08
46,2017-01-08
47,2017-01-08
32,2017-01-08
43,2017-01-08
43,2017-01-08
46,2017-01-08
47,2017-01-08
5,2017-01-08
67,2017-01-08
63,2017-01-08
4,2017-01-08
24,2017-01-08
24,2017-01-08
21,2017-01-08
21,2017-01-08
43,2017-01-07
43,2017-01-07
43,2017-01-07
43,2017-01-07
43,2017-01-07
43,2017-01-07
43,2017-01-07
46,2017-01-07
47,2017-01-07
32,2017-01-07
37,2017-01-07
43,2017-01-07
43,2017-01-07
46,2017-01-07
47,2017-01-07
37,2017-01-07
43,2017-01-07
43,2017-01-07
43,2017-01-07
37,2017-01-07
43,2017-01-07
43,2017-01-07
37,2017-01-07
43,2017-01-07
43,2017-01-07
43,2017-01-07
43,2017-01-07
43,2017-01-07
43,2017-01-07
46,2017-01-07
47,2017-01-07
32,2017-01-07
43,2017-01-07
43,2017-01-07
43,2017-01-07
43,2017-01-07
43,2017-01-07
43,2017-01-06
43,2017-01-06
46,2017-01-06
47,2017-01-06
32,2017-01-06
32,2017-01-06
4,2017-01-06
21,2017-01-06
21,2017-01-06
21,2017-01-06
43,2017-01-05
43,2017-01-05
47,2017-01-05
46,2017-01-05
32,2017-01-05
32,2017-01-05
43,2017-01-05
43,2017-01-05
43,2017-01-05
46,2017-01-05
47,2017-01-05
32,2017-01-05
32,2017-01-05
43,2017-01-05
43,2017-01-05
43,2017-01-05
43,2017-01-05
43,2017-01-05
43,2017-01-05
43,2017-01-05
46,2017-01-05
47,2017-01-05
32,2017-01-05
43,2017-01-05
43,2017-01-05
47,2017-01-05
46,2017-01-05
32,2017-01-05
43,2017-01-05
46,2017-01-05
43,2017-01-05
47,2017-01-05
4,2017-01-05
24,2017-01-05
24,2017-01-05
21,2017-01-05
21,2017-01-05
21,2017-01-05
43,2017-01-04
43,2017-01-04
43,2017-01-04
43,2017-01-04
43,2017-01-04
43,2017-01-04
43,2017-01-04
43,2017-01-04
43,2017-01-04
37,2017-01-04
37,2017-01-04
46,2017-01-04
47,2017-01-04
32,2017-01-04
32,2017-01-04
43,2017-01-04
43,2017-01-04
43,2017-01-04
43,2017-01-04
43,2017-01-04
46,2017-01-04
47,2017-01-04
32,2017-01-04
37,2017-01-04
43,2017-01-04
43,2017-01-04
43,2017-01-04
46,2017-01-04
47,2017-01-04
32,2017-01-04
43,2017-01-04
43,2017-01-04
43,2017-01-04
43,2017-01-04
43,2017-01-04
43,2017-01-04
43,2017-01-04
43,2017-01-04
37,2017-01-04
37,2017-01-04
37,2017-01-04
43,2017-01-04
43,2017-01-04
43,2017-01-04
37,2017-01-04
43,2017-01-04
43,2017-01-04
43,2017-01-04
37,2017-01-04
43,2017-01-04
43,2017-01-04
43,2017-01-04
37,2017-01-04
53,2017-01-04
43,2017-01-04
4,2017-01-04
24,2017-01-04
21,2017-01-04
21,2017-01-04
18,2017-01-04
19,2017-01-04
19,2017-01-04
17,2017-01-04
21,2017-01-04
14,2017-01-04
14,2017-01-04
43,2016-12-18
43,2016-12-18
43,2016-12-18
46,2016-12-18
47,2016-12-18
43,2016-12-17
43,2016-12-17
43,2016-12-17
43,2016-12-17
43,2016-12-17
43,2016-12-17
43,2016-12-17
46,2016-12-17
47,2016-12-17
32,2016-12-17
43,2016-12-17
43,2016-12-17
43,2016-12-17
43,2016-12-17
43,2016-12-17
43,2016-12-17
43,2016-12-17
43,2016-12-17
37,2016-12-17
43,2016-12-16
43,2016-12-16
43,2016-12-16
43,2016-12-16
43,2016-12-16
43,2016-12-16
43,2016-12-16
37,2016-12-16
37,2016-12-16
37,2016-12-16
37,2016-12-16
37,2016-12-16
37,2016-12-16
43,2016-12-16
43,2016-12-16
43,2016-12-16
43,2016-12-16
43,2016-12-16
43,2016-12-16
46,2016-12-16
47,2016-12-16
32,2016-12-16
43,2016-12-16
43,2016-12-16
43,2016-12-16
43,2016-12-16
43,2016-12-16
43,2016-12-16
46,2016-12-16
47,2016-12-16
32,2016-12-16
32,2016-12-16
43,2016-12-15
43,2016-12-15
43,2016-12-15
43,2016-12-15
43,2016-12-15
43,2016-12-15
46,2016-12-15
47,2016-12-15
32,2016-12-15
43,2016-12-15
43,2016-12-15
43,2016-12-15
43,2016-12-15
43,2016-12-15
43,2016-12-15
43,2016-12-15
43,2016-12-15
43,2016-12-15
43,2016-12-15
43,2016-12-15
43,2016-12-15
43,2016-12-15
43,2016-12-15
43,2016-12-15
43,2016-12-15
43,2016-12-15
43,2016-12-15
43,2016-12-15
43,2016-12-15
43,2016-12-15
43,2016-12-15
43,2016-12-15
43,2016-12-15
43,2016-12-15
46,2016-12-15
47,2016-12-15
32,2016-12-15
32,2016-12-14
32,2016-12-14
43,2016-12-14
43,2016-12-14
43,2016-12-14
37,2016-12-14
37,2016-12-14
43,2016-12-14
53,2016-12-14
54,2016-12-14
41,2016-12-14
43,2016-12-14
43,2016-12-14
43,2016-12-14
43,2016-12-14
43,2016-12-14
43,2016-12-14
43,2016-12-14
37,2016-12-14
37,2016-12-14
43,2016-12-14
43,2016-12-14
37,2016-12-14
43,2016-12-13
43,2016-12-13
43,2016-12-13
43,2016-12-13
43,2016-12-13
37,2016-12-13
43,2016-12-13
43,2016-12-13
37,2016-12-13
37,2016-12-13
37,2016-12-13
37,2016-12-13
37,2016-12-13
37,2016-12-13
37,2016-12-13
37,2016-12-13
43,2016-12-13
43,2016-12-13
43,2016-12-13
37,2016-12-13
55,2016-12-13
52,2016-12-13
90,2016-12-12
43,2016-12-12
43,2016-12-12
43,2016-12-12
43,2016-12-12
43,2016-12-12
43,2016-12-12
43,2016-12-12
43,2016-12-12
43,2016-12-12
43,2016-12-12
43,2016-12-12
43,2016-12-12
43,2016-12-12
46,2016-12-12
49,2016-12-12
34,2016-12-12
43,2016-12-12
43,2016-12-12
43,2016-12-12
46,2016-12-12
49,2016-12-12
34,2016-12-12
43,2016-12-12
43,2016-12-12
43,2016-12-12
46,2016-12-12
37,2016-12-12
44,2016-12-12
45,2016-12-12
44,2016-12-12
37,2016-12-12
45,2016-12-12
37,2016-12-12
37,2016-12-12
37,2016-12-12
37,2016-12-12
37,2016-12-12
37,2016-12-12
44,2016-12-12
45,2016-12-12
43,2016-12-12
43,2016-12-12
43,2016-12-12
43,2016-12-12
43,2016-12-12
46,2016-12-12
49,2016-12-12
34,2016-12-12
43,2016-12-12
53,2016-12-12
43,2016-12-12
43,2016-12-12
43,2016-12-12
43,2016-12-12
43,2016-12-12
43,2016-12-12
52,2016-12-12
43,2016-12-12
43,2016-12-12
43,2016-12-12
43,2016-12-12
43,2016-12-12
52,2016-12-12
37,2016-12-12
53,2016-12-12
89,2016-12-05
89,2016-12-05
88,2016-11-28
43,2016-11-26
43,2016-11-26
43,2016-11-26
37,2016-11-26
37,2016-11-26
37,2016-11-26
43,2016-11-23
43,2016-11-23
43,2016-11-23
37,2016-11-23
37,2016-11-23
37,2016-11-23
43,2016-11-23
43,2016-11-23
52,2016-11-23
43,2016-11-23
43,2016-11-23
46,2016-11-23
49,2016-11-23
43,2016-11-23
43,2016-11-23
46,2016-11-23
49,2016-11-23
34,2016-11-23
37,2016-11-23
43,2016-11-23
28,2016-11-22
43,2016-11-22
43,2016-11-22
43,2016-11-22
43,2016-11-22
43,2016-11-22
43,2016-11-22
46,2016-11-22
37,2016-11-22
46,2016-11-22
49,2016-11-22
34,2016-11-22
43,2016-11-22
43,2016-11-22
46,2016-11-22
49,2016-11-22
34,2016-11-22
43,2016-11-22
43,2016-11-22
46,2016-11-22
49,2016-11-22
34,2016-11-22
37,2016-11-22
43,2016-11-22
43,2016-11-22
53,2016-11-22
41,2016-11-22
43,2016-11-22
43,2016-11-22
43,2016-11-22
37,2016-11-22
37,2016-11-22
37,2016-11-22
37,2016-11-22
43,2016-11-22
43,2016-11-22
43,2016-11-22
37,2016-11-22
43,2016-11-22
43,2016-11-22
43,2016-11-22
53,2016-11-22
87,2016-11-21
86,2016-11-14
85,2016-11-11
