date_number,web_actions,mobile_actions
14/02/2017,0,115
13/02/2017,0,39
12/02/2017,0,54
11/02/2017,0,0
10/02/2017,0,6
9/02/2017,0,76
8/02/2017,0,12
7/02/2017,0,189
6/02/2017,0,20
5/02/2017,0,0
4/02/2017,0,0
3/02/2017,0,70
2/02/2017,0,51
1/02/2017,0,107
31/01/2017,0,0
30/01/2017,0,0
29/01/2017,0,0
28/01/2017,0,0
27/01/2017,0,0
26/01/2017,0,0
25/01/2017,0,0
24/01/2017,0,3
23/01/2017,0,0
22/01/2017,0,0
21/01/2017,0,0
20/01/2017,0,9
19/01/2017,0,0
18/01/2017,0,0
17/01/2017,0,0
16/01/2017,0,0
15/01/2017,0,0
14/01/2017,0,0
13/01/2017,0,4
12/01/2017,0,0
11/01/2017,0,0
10/01/2017,0,0
9/01/2017,0,9
8/01/2017,0,0
7/01/2017,0,0
6/01/2017,0,0
5/01/2017,0,0
4/01/2017,0,0
3/01/2017,0,0
2/01/2017,0,0
1/01/2017,0,0
31/12/2016,0,17
30/12/2016,0,0
29/12/2016,0,0
28/12/2016,0,0
27/12/2016,0,6
26/12/2016,0,0
25/12/2016,0,0
24/12/2016,0,0
23/12/2016,0,0
22/12/2016,0,0
21/12/2016,0,0
20/12/2016,0,0
19/12/2016,0,0
18/12/2016,0,0
17/12/2016,0,0
16/12/2016,0,0
15/12/2016,0,36
14/12/2016,1,73
13/12/2016,0,0
12/12/2016,0,0
11/12/2016,0,0
10/12/2016,0,0
9/12/2016,0,0
8/12/2016,0,0
7/12/2016,0,0
6/12/2016,0,0
5/12/2016,0,0
4/12/2016,0,0
3/12/2016,0,0
2/12/2016,0,0
1/12/2016,0,0
30/11/2016,0,0
29/11/2016,0,0
28/11/2016,0,0
27/11/2016,0,0
26/11/2016,0,0
25/11/2016,0,0
24/11/2016,0,0
23/11/2016,0,0
22/11/2016,0,0
21/11/2016,0,0
20/11/2016,0,0
19/11/2016,0,0
18/11/2016,0,0
17/11/2016,0,0
16/11/2016,0,0
15/11/2016,0,0
14/11/2016,0,0
13/11/2016,0,0
12/11/2016,0,0
11/11/2016,0,0